job,marital,education,default,housing,loan,duration,campaign,pdays,previous,cons.price.idx,cons.conf.idx,age_group
9,2,0,1,0,1,-0.6377504168528613,-0.566986350731813,0.195435922862134,-0.3491621499367286,0.7259170045245432,0.8873572124341421,1
0,0,4,0,1,0,-0.5452025835021789,-0.2050508013903924,0.195435922862134,-0.3491621499367286,0.7259170045245432,0.8873572124341421,1
6,2,4,0,1,0,0.7041931667320328,-0.2050508013903924,0.195435922862134,-0.3491621499367286,-0.8638454524024751,-1.4242702585939913,0
1,1,0,0,1,0,1.3443156807409191,-0.566986350731813,0.195435922862134,-0.3491621499367286,0.7259170045245432,0.8873572124341421,1
9,1,0,0,0,0,0.9856928265070249,0.15688474795102827,0.195435922862134,-0.3491621499367286,0.7259170045245432,0.8873572124341421,1
4,1,4,0,1,0,-0.5529149029480691,-0.566986350731813,0.195435922862134,-0.3491621499367286,-0.22551863346224513,0.9521691976031545,2
9,2,4,0,1,0,-0.7187297710347084,0.8807558466338696,0.195435922862134,-0.3491621499367286,0.5944458981845614,-0.4736944761151332,0
5,1,3,0,0,0,1.2594801668361268,-0.566986350731813,-5.11671986015479,5.724563660142017,1.7759559722663303,-1.9427661399460954,3
0,2,4,0,0,0,-0.37938771541553973,-0.566986350731813,0.195435922862134,-0.3491621499367286,-1.1786841544271995,-1.2298343030869523,0
4,1,0,1,0,0,-0.6917366529740926,-0.566986350731813,0.195435922862134,-0.3491621499367286,1.540691887236876,-0.2792585206080928,1
9,2,3,0,1,0,-0.549058743225124,1.2426913959752903,0.195435922862134,-0.3491621499367286,-0.6476100801327493,-0.3224665107207688,2
2,1,1,0,0,0,-0.43723011125971617,-0.566986350731813,0.195435922862134,3.699988390115769,1.0805430150468904,0.6497132668144272,2
1,1,1,0,1,0,-0.07475109730287698,-0.566986350731813,0.195435922862134,-0.3491621499367286,-1.1786841544271995,-1.2298343030869523,1
1,1,0,1,1,1,0.357138791666974,-0.566986350731813,0.195435922862134,-0.3491621499367286,0.7259170045245432,0.8873572124341421,2
1,1,0,0,0,0,-0.5220656251645083,5.585917988072338,0.195435922862134,-0.3491621499367286,0.7259170045245432,0.8873572124341421,1
7,2,1,0,0,0,-0.23670980566657107,-0.566986350731813,0.195435922862134,-0.3491621499367286,-1.1786841544271995,-1.2298343030869523,1
4,1,4,0,0,0,-0.48350402793505737,-0.566986350731813,0.195435922862134,-0.3491621499367286,-0.6476100801327493,-0.3224665107207688,0
1,1,3,0,1,0,-0.58376418073163,0.15688474795102827,0.195435922862134,-0.3491621499367286,-0.6476100801327493,-0.3224665107207688,0
6,1,0,0,1,1,2.076986028100488,-0.566986350731813,0.195435922862134,-0.3491621499367286,-0.22551863346224513,0.9521691976031545,1
5,1,1,1,1,0,-0.6917366529740926,-0.2050508013903924,0.195435922862134,-0.3491621499367286,0.5944458981845614,-0.4736944761151332,2
1,1,0,1,0,0,-0.06703877785698678,-0.2050508013903924,0.195435922862134,-0.3491621499367286,0.7259170045245432,0.8873572124341421,1
1,1,0,0,0,0,-0.6107572987922456,0.5188202972924489,0.195435922862134,-0.3491621499367286,0.5944458981845614,-0.4736944761151332,1
1,2,0,0,0,0,-0.43723011125971617,-0.566986350731813,0.195435922862134,-0.3491621499367286,1.540691887236876,-0.2792585206080928,1
5,1,4,0,1,0,-0.17886740982239463,-0.2050508013903924,-5.132768669166926,3.699988390115769,1.7759559722663303,-1.9427661399460954,3
11,1,0,0,0,0,-0.6531750557446416,-0.566986350731813,0.195435922862134,-0.3491621499367286,0.7259170045245432,0.8873572124341421,1
3,1,0,0,0,0,-0.6069011390693004,-0.566986350731813,0.195435922862134,-0.3491621499367286,1.540691887236876,-0.2792585206080928,2
7,1,1,0,1,0,-0.0246210209045907,-0.566986350731813,0.195435922862134,-0.3491621499367286,-0.6476100801327493,-0.3224665107207688,1
7,1,1,0,1,0,-0.7534352085412142,0.5188202972924489,0.195435922862134,-0.3491621499367286,-0.22551863346224513,0.9521691976031545,2
5,1,4,0,1,0,-0.2289974862206809,0.15688474795102827,0.195435922862134,-0.3491621499367286,0.7259170045245432,0.8873572124341421,2
1,1,0,0,1,0,0.1913239235803348,-0.2050508013903924,0.195435922862134,-0.3491621499367286,-1.1786841544271995,-1.2298343030869523,1
1,2,0,1,1,0,-0.8999692780131279,-0.566986350731813,0.195435922862134,-0.3491621499367286,-0.6476100801327493,-0.3224665107207688,0
9,1,4,0,0,0,-0.028477180627535802,-0.566986350731813,0.195435922862134,-0.3491621499367286,-0.22551863346224513,0.9521691976031545,1
6,1,4,0,1,0,-0.8112776043853906,-0.566986350731813,0.195435922862134,-0.3491621499367286,-0.6476100801327493,-0.3224665107207688,2
9,2,3,0,1,0,-0.6493188960216966,-0.566986350731813,0.195435922862134,-0.3491621499367286,-0.22551863346224513,0.9521691976031545,0
9,1,4,0,1,0,0.20674856247211518,-0.2050508013903924,0.195435922862134,-0.3491621499367286,-0.22551863346224513,0.9521691976031545,0
9,1,3,0,1,0,0.5846522153207347,0.15688474795102827,0.195435922862134,-0.3491621499367286,0.5944458981845614,-0.4736944761151332,1
1,1,0,0,1,1,-0.5374902640562887,-0.566986350731813,0.195435922862134,-0.3491621499367286,-1.4156781224348196,-1.1650223179179384,1
9,1,1,0,0,1,-0.5644833821169044,0.5188202972924489,0.195435922862134,1.6754131200895201,-1.057592345956165,-0.06321857004471591,0
1,0,0,0,1,0,-0.5567710626710142,0.5188202972924489,0.195435922862134,-0.3491621499367286,0.7259170045245432,0.8873572124341421,1
1,2,0,0,0,0,-0.5104971459956731,0.15688474795102827,0.195435922862134,-0.3491621499367286,0.5944458981845614,-0.4736944761151332,0
1,1,0,1,0,1,-0.5374902640562887,-0.566986350731813,0.195435922862134,-0.3491621499367286,1.540691887236876,-0.2792585206080928,1
4,2,4,1,1,0,2.2582255350789073,-0.566986350731813,0.195435922862134,-0.3491621499367286,0.7259170045245432,0.8873572124341421,1
9,1,1,0,1,0,-0.5104971459956731,-0.566986350731813,0.195435922862134,-0.3491621499367286,1.540691887236876,-0.2792585206080928,1
8,2,5,0,1,0,-0.3176891598484181,-0.566986350731813,0.195435922862134,-0.3491621499367286,-0.8638454524024751,-1.4242702585939913,0
1,2,0,0,1,1,-0.5644833821169044,0.5188202972924489,0.195435922862134,-0.3491621499367286,1.540691887236876,-0.2792585206080928,0
1,0,5,1,0,0,0.1257692082902681,-0.566986350731813,0.195435922862134,-0.3491621499367286,0.5944458981845614,-0.4736944761151332,1
1,1,3,1,0,0,1.139939215424829,-0.2050508013903924,0.195435922862134,-0.3491621499367286,1.540691887236876,-0.2792585206080928,1
0,1,0,0,0,0,-0.6338942571299162,-0.2050508013903924,0.195435922862134,-0.3491621499367286,-0.6476100801327493,-0.3224665107207688,2
4,1,4,0,1,1,0.27230327776218183,0.5188202972924489,0.195435922862134,-0.3491621499367286,0.5944458981845614,-0.4736944761151332,0
3,0,0,0,1,0,-0.36781923624670443,-0.2050508013903924,0.195435922862134,1.6754131200895201,-0.6476100801327493,-0.3224665107207688,1
0,2,4,0,1,0,-0.34853843763197895,0.8807558466338696,0.195435922862134,-0.3491621499367286,-1.1786841544271995,-1.2298343030869523,1
0,1,4,1,0,1,0.1913239235803348,-0.2050508013903924,0.195435922862134,-0.3491621499367286,-0.22551863346224513,0.9521691976031545,2
0,1,3,0,0,0,0.7697478820220994,-0.566986350731813,0.195435922862134,-0.3491621499367286,0.5944458981845614,-0.4736944761151332,1
9,1,4,0,1,0,-0.6763120140823122,-0.2050508013903924,0.195435922862134,-0.3491621499367286,-0.22551863346224513,0.9521691976031545,0
9,2,4,0,1,0,1.891890361399123,-0.2050508013903924,0.195435922862134,-0.3491621499367286,0.7259170045245432,0.8873572124341421,1
1,2,0,1,0,0,2.0307121114251467,-0.566986350731813,0.195435922862134,-0.3491621499367286,-1.1786841544271995,-1.2298343030869523,0
5,1,3,0,1,1,0.7157616459008681,-0.2050508013903924,-5.073923036122428,1.6754131200895201,0.5217908131019308,0.10961339040598497,2
8,2,0,0,1,0,-0.3948123543073201,-0.566986350731813,0.195435922862134,-0.3491621499367286,-1.265178303335085,-2.0507861152277838,0
7,2,1,0,0,0,-0.5991888196234103,-0.566986350731813,0.195435922862134,1.6754131200895201,-1.1786841544271995,-1.2298343030869523,1
10,1,1,1,1,1,-0.12488117370116325,-0.566986350731813,0.195435922862134,-0.3491621499367286,0.7259170045245432,0.8873572124341421,1
1,1,0,1,1,0,-0.6608873751905319,-0.566986350731813,0.195435922862134,-0.3491621499367286,-1.1786841544271995,-1.2298343030869523,1
9,0,3,1,1,0,-0.5297779446103985,-0.566986350731813,0.195435922862134,-0.3491621499367286,-0.22551863346224513,0.9521691976031545,2
4,1,4,0,0,0,-0.28298372234191227,-0.566986350731813,0.195435922862134,-0.3491621499367286,0.8314398661921816,0.15282138051866098,1
1,1,0,0,1,0,-0.48350402793505737,-0.2050508013903924,-5.143467875175016,1.6754131200895201,-1.1786841544271995,-1.2298343030869523,1
0,2,4,0,1,0,1.8109110072172758,-0.2050508013903924,0.195435922862134,-0.3491621499367286,-0.22551863346224513,0.9521691976031545,0
9,2,3,0,0,0,-0.5336341043333436,0.15688474795102827,0.195435922862134,-0.3491621499367286,-0.22551863346224513,0.9521691976031545,0
9,1,4,0,1,0,-0.5721957015627946,-0.566986350731813,0.195435922862134,1.6754131200895201,1.0805430150468904,0.6497132668144272,0
0,0,4,0,0,0,-0.45651090987444165,-0.566986350731813,0.195435922862134,-0.3491621499367286,1.540691887236876,-0.2792585206080928,1
9,2,3,0,1,0,-0.6338942571299162,0.5188202972924489,0.195435922862134,-0.3491621499367286,-0.22551863346224513,0.9521691976031545,0
0,2,0,0,1,0,-0.5914765001775201,-0.2050508013903924,0.195435922862134,-0.3491621499367286,0.7259170045245432,0.8873572124341421,0
9,1,3,0,0,0,-0.33696995846314365,-0.2050508013903924,0.195435922862134,-0.3491621499367286,1.540691887236876,-0.2792585206080928,0
4,1,4,0,1,0,-0.5953326599004651,-0.566986350731813,0.195435922862134,-0.3491621499367286,-0.6476100801327493,-0.3224665107207688,2
1,1,3,0,0,0,0.41112502778820537,-0.566986350731813,0.195435922862134,-0.3491621499367286,-0.8638454524024751,-1.4242702585939913,1
10,0,0,0,1,0,-0.3408261181860887,-0.566986350731813,0.195435922862134,1.6754131200895201,-0.3552598568240855,1.2330211333355454,2
